"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "YAML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/spursh/Documents/code/hours-frontend-next/middleware.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 19, 53
"/Users/spursh/Documents/code/hours-frontend-next/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 1, 2, 15
"/Users/spursh/Documents/code/hours-frontend-next/package-lock.json", "JSON", 0, 0, 3693, 0, 0, 0, 0, 0, 0, 1, 3694
"/Users/spursh/Documents/code/hours-frontend-next/package.json", "JSON", 0, 0, 77, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/spursh/Documents/code/hours-frontend-next/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/spursh/Documents/code/hours-frontend-next/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"/Users/spursh/Documents/code/hours-frontend-next/public/placeholder-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/hours-frontend-next/public/placeholder.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/hours-frontend-next/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 151, 4, 13, 168
"/Users/spursh/Documents/code/hours-frontend-next/tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/spursh/Documents/code/hours-frontend-next/types/api.ts", "TypeScript", 0, 167, 0, 0, 0, 0, 0, 0, 1, 18, 186
"Total", "-", 27, 749, 3791, 10187, 2, 4, 18, 362, 171, 1156, 16467
